Time,Timestamp,Fp1,Fp2,C3,C4,P7,P8,O1,O2,Estimulo
0.796,1595457114428.675,38929.496,10132.023,-61624.605,-17196.246,-17252.775,-27768.912,-63326.895,-25219.875,0
0.800,1595457114432.675,37862.133,10234.551,-61583.727,-17102.324,-17473.990,-27689.363,-63257.023,-25130.467,0
0.804,1595457114436.675,35987.871,10249.974,-61606.480,-17096.805,-16736.561,-27691.307,-63231.293,-25078.008,0
0.808,1595457114440.675,35375.680,10205.806,-61659.387,-17180.176,-15972.311,-27815.783,-63272.891,-25146.963,0
0.812,1595457114444.675,37757.750,10164.299,-61684.664,-17248.326,-16135.635,-27804.898,-63337.957,-25261.047,0
0.816,1595457114448.674,38946.730,10190.741,-61625.188,-17185.160,-17102.348,-27735.295,-63314.465,-25275.553,0
0.820,1595457114452.674,37914.680,10299.482,-61576.887,-17089.293,-17327.898,-27756.842,-63244.234,-25176.467,0
0.824,1595457114456.674,36056.672,10297.359,-61612.938,-17099.576,-16667.092,-27889.119,-63239.320,-25138.582,0
0.828,1595457114460.674,35420.316,10252.320,-61645.438,-17149.062,-15891.934,-27751.812,-63258.473,-25142.471,0
0.832,1595457114464.674,37787.543,10222.101,-61667.902,-17210.977,-16059.594,-27782.568,-63318.176,-25238.092,0
0.836,1595457114468.674,39010.340,10229.566,-61621.855,-17178.611,-17074.787,-27780.893,-63319.203,-25279.822,0
0.840,1595457114472.674,37968.641,10323.443,-61560.523,-17059.900,-17346.898,-27703.242,-63247.164,-25164.576,0
0.844,1595457114476.673,36097.059,10327.824,-61594.344,-17058.404,-16663.939,-27776.467,-63225.930,-25098.303,0
0.848,1595457114480.673,35410.660,10286.116,-61646.242,-17148.035,-15940.481,-27927.252,-63265.066,-25162.520,0
0.852,1595457114484.673,37784.797,10238.462,-61675.680,-17221.125,-16098.754,-27836.885,-63329.711,-25253.223,0
0.856,1595457114488.673,39026.836,10261.954,-61601.184,-17161.580,-17041.416,-27914.355,-63283.711,-25262.432,0
0.860,1595457114492.673,38032.008,10366.225,-61560.680,-17050.916,-17314.332,-27672.979,-63225.125,-25118.309,0
0.864,1595457114496.673,36191.406,10372.908,-61595.883,-17056.191,-16675.406,-27647.990,-63210.531,-25048.771,0
0.868,1595457114500.673,35443.383,10329.031,-61653.305,-17139.139,-15912.273,-27733.932,-63238.961,-25100.404,0
0.872,1595457114504.673,37763.293,10276.684,-61673.488,-17236.346,-16083.019,-27883.756,-63301.680,-25239.633,0
0.876,1595457114508.672,39017.738,10291.548,-61636.609,-17197.365,-17094.814,-27925.330,-63302.887,-25281.164,0
0.880,1595457114512.672,37995.016,10404.871,-61569.754,-17079.324,-17371.262,-27804.117,-63219.672,-25151.971,0
0.884,1595457114516.672,36162.125,10410.749,-61593.270,-17049.463,-16656.697,-27574.631,-63194.215,-25036.658,0
0.888,1595457114520.672,35375.836,10363.096,-61658.203,-17147.207,-15910.307,-27794.371,-63240.258,-25118.957,0
0.892,1595457114524.672,37705.582,10325.790,-61686.812,-17246.023,-16068.848,-27962.389,-63311.066,-25269.316,0
0.896,1595457114528.672,39015.328,10339.269,-61627.625,-17165.848,-17085.449,-27790.080,-63303.805,-25257.828,0
0.900,1595457114532.672,38046.781,10457.777,-61545.504,-17039.113,-17344.104,-27601.744,-63214.555,-25113.145,0
0.904,1595457114536.671,36204.082,10466.003,-61561.621,-17054.135,-16589.240,-27675.885,-63186.234,-25063.189,0
0.908,1595457114540.671,35383.660,10408.715,-61619.758,-17135.316,-15866.988,-27804.072,-63232.637,-25122.422,0
0.912,1595457114544.671,37723.887,10362.917,-61654.961,-17222.086,-16016.388,-27912.119,-63308.879,-25246.541,0
0.916,1595457114548.671,39092.930,10375.300,-61607.688,-17173.582,-17035.582,-27797.188,-63311.047,-25250.430,0
