timestamps,TP9,AF7,AF8,TP10,Right AUX,Estimulo
216828.789,93.262,24.414,35.645,104.004,58.594,0
216828.793,95.703,21.484,22.949,102.539,59.570,0
216828.797,93.262,0.977,12.207,85.449,50.293,0
216828.801,89.844,-4.883,10.254,76.172,-12.207,0
216828.805,84.961,9.766,21.973,91.797,-8.301,0
216828.809,92.773,20.020,39.062,108.398,44.434,0
216828.813,92.285,17.090,38.574,96.680,20.508,0
216828.817,81.543,7.812,37.598,75.195,18.066,0
216828.820,94.727,5.371,40.039,83.496,18.066,0
216828.824,101.074,7.812,35.156,96.680,31.738,0
216828.828,91.797,12.207,34.668,92.773,-1.465,0
216828.832,98.145,11.230,40.039,90.332,-5.859,0
216828.836,106.934,12.695,32.227,91.797,58.594,0
216828.840,107.910,16.602,28.320,96.680,50.293,0
216828.844,97.168,12.207,25.391,86.914,11.719,0
216828.848,86.914,4.883,17.578,72.754,4.883,0
216828.852,94.727,7.324,26.855,82.520,7.324,0
216828.856,105.469,14.160,39.062,99.121,-14.160,0
216828.860,88.379,2.930,41.992,105.469,-0.488,0
216828.863,81.543,-7.812,47.363,100.098,3.906,0
216828.867,89.355,5.371,43.457,96.191,-16.602,0
216828.871,81.055,21.484,19.531,95.703,16.602,0
216828.875,77.637,20.996,13.672,84.473,19.043,0
216828.879,81.055,25.391,24.414,76.172,13.672,0
216828.883,80.566,22.949,20.508,82.031,59.570,0
216828.887,77.637,11.230,26.367,74.707,53.223,0
216828.891,63.965,5.859,45.410,64.453,15.137,0
216828.895,52.734,3.906,50.293,64.453,4.395,0
216828.899,57.129,11.719,46.387,71.289,-1.465,0
216828.902,65.430,15.625,34.668,72.266,-8.301,0
216828.906,64.453,20.996,15.625,64.941,-0.977,0
216828.910,69.336,28.809,22.461,67.871,32.715,0
216828.914,74.707,25.879,32.715,76.172,30.762,0
216828.918,77.148,29.785,23.926,83.496,5.859,0
216828.922,72.754,23.438,23.438,76.172,22.461,0
216828.926,66.895,10.254,43.457,66.895,31.738,0
216828.930,57.129,15.625,43.945,66.406,2.930,0
216828.934,51.758,19.531,28.809,54.199,-3.418,0
216828.938,66.895,17.090,35.156,60.547,-29.785,0
216828.942,58.105,12.695,34.668,66.406,-29.297,1
216828.945,57.617,10.254,26.855,58.105,16.602,0
216828.949,69.336,18.555,27.832,60.059,7.812,0
216828.953,69.336,24.902,21.973,64.453,-3.418,0
216828.957,64.453,28.320,31.738,63.477,-10.742,0
216828.961,65.918,33.691,54.688,63.965,-17.090,0
216828.965,60.547,28.809,44.922,56.152,14.160,0
216828.969,51.270,19.043,37.109,45.898,28.809,0
216828.973,57.129,21.484,40.039,51.758,56.641,0
216828.977,48.340,23.926,28.320,48.828,53.223,0
216828.981,44.922,16.113,19.531,53.711,40.527,0
216828.985,57.617,11.230,22.949,53.223,63.477,0
216828.988,51.758,15.137,18.555,48.828,64.941,0
216828.992,56.641,26.367,21.973,64.453,52.246,0
216828.996,61.523,39.062,35.156,64.941,27.344,0
216829.000,52.246,36.133,41.016,50.781,32.227,0
216829.004,60.547,23.926,46.875,60.547,52.734,0
216829.008,58.105,25.879,47.363,57.617,48.340,0
216829.012,56.641,31.250,29.785,51.270,17.578,0
216829.016,57.129,13.184,13.672,55.176,9.766,0
